model,roc_auc,average_precision
sage,0.7925281105940581,0.062405854890815016
mlp,0.727356741731137,0.04655283003515647
gcn,0.7175504883154705,0.04880626849111612
gat,0.715526961296074,0.04845154306600594
gin,0.7078540809156618,0.050830188013321696
xgboost,0.7024380368610548,0.04549480988405034
